t_fs,step,phase,i_applied,v_cell
0.000,0,pre_hold,0.000000e0,-1.053987e-3
25.000,5,pre_hold,0.000000e0,-6.094645e-4
50.000,10,pre_hold,0.000000e0,-2.392149e-5
75.000,15,pre_hold,0.000000e0,-2.250182e-4
100.000,20,pre_hold,0.000000e0,-5.021133e-4
125.000,25,pre_hold,0.000000e0,-7.030438e-4
150.000,30,pre_hold,0.000000e0,-7.564025e-4
175.000,35,pre_hold,0.000000e0,-3.845659e-4
200.000,40,pre_hold,0.000000e0,3.089649e-4
225.000,45,pre_hold,0.000000e0,-3.273470e-3
250.000,50,pre_hold,0.000000e0,-3.632073e-3
275.000,55,pre_hold,0.000000e0,5.633403e-4
300.000,60,pre_hold,0.000000e0,-3.536412e-3
325.000,65,pre_hold,0.000000e0,-3.044980e-3
350.000,70,pre_hold,0.000000e0,-2.953824e-3
375.000,75,pre_hold,0.000000e0,-2.399850e-3
400.000,80,pre_hold,0.000000e0,-2.093665e-3
425.000,85,pre_hold,0.000000e0,-3.820613e-3
450.000,90,pre_hold,0.000000e0,-7.867808e-3
475.000,95,pre_hold,0.000000e0,-2.827934e-3
500.000,100,pre_hold,0.000000e0,1.237256e-3
500.000,100,pre,0.000000e0,1.237256e-3
505.000,101,on,4.407996e-1,-3.483358e-3
525.000,105,on,5.557300e-1,-1.537337e-2
550.000,110,on,7.115374e-1,-2.539035e-2
575.000,115,on,7.826521e-1,-5.277163e-2
600.000,120,on,8.403437e-1,-6.432123e-2
625.000,125,on,8.480350e-1,-1.013999e-1
650.000,130,on,8.096139e-1,-1.063891e-1
675.000,135,on,7.345755e-1,-1.195749e-1
700.000,140,on,6.499600e-1,-1.373895e-1
725.000,145,on,5.653445e-1,-1.428823e-1
750.000,150,on,4.807675e-1,-1.288602e-1
775.000,155,on,3.364979e-1,-1.572302e-1
800.000,160,on,2.172670e-1,-1.533134e-1
825.000,165,on,1.096129e-1,-1.530554e-1
850.000,170,on,1.920462e-3,-1.497513e-1
875.000,175,on,-5.765645e-2,-1.441105e-1
900.000,180,on,-1.461565e-1,-1.245697e-1
925.000,185,on,-2.057719e-1,-1.270463e-1
950.000,190,on,-2.615411e-1,-1.229043e-1
975.000,195,on,-3.057718e-1,-1.272385e-1
1000.000,200,on,-2.884254e-1,-1.105107e-1
1005.000,201,rest,-7.354172e-1,-1.104584e-1
1025.000,205,rest,-8.461167e-1,-1.085226e-1
1050.000,210,rest,-9.230415e-1,-8.280328e-2
1075.000,215,rest,-9.749648e-1,-5.059954e-2
1100.000,220,rest,-9.653494e-1,-2.328376e-2
1125.000,225,rest,-9.076568e-1,-1.331028e-2
1150.000,230,rest,-8.288104e-1,8.829171e-3
1175.000,235,rest,-7.326562e-1,1.215829e-2
1200.000,240,rest,-6.095788e-1,1.830285e-2
1225.000,245,rest,-5.172334e-1,3.703864e-2
1250.000,250,rest,-3.287934e-1,4.205779e-2
1275.000,255,rest,-1.803200e-1,6.325901e-2
1300.000,260,rest,-2.470725e-2,8.176407e-2
1325.000,265,rest,1.194855e-1,7.995553e-2
1350.000,270,rest,2.406393e-1,5.934359e-2
1375.000,275,rest,2.983312e-1,5.552371e-2
1400.000,280,rest,3.714960e-1,4.303984e-2
1425.000,285,rest,3.907991e-1,2.549030e-2
1450.000,290,rest,4.293750e-1,2.767462e-2
1475.000,295,rest,4.351496e-1,2.675528e-2
1500.000,300,rest,3.697018e-1,7.031842e-3
1525.000,305,rest,3.427519e-1,1.590060e-2
1550.000,310,rest,3.331270e-1,-8.765032e-3
1575.000,315,rest,2.676808e-1,-6.690402e-3
1600.000,320,rest,2.388071e-1,-9.769777e-3
1625.000,325,rest,1.868336e-1,-1.214205e-2
1650.000,330,rest,1.483349e-1,-1.195387e-2
1675.000,335,rest,8.288638e-2,-2.144931e-2
1700.000,340,rest,3.476278e-2,-3.251909e-2
1725.000,345,rest,-1.336081e-2,-3.574486e-2
1750.000,350,rest,-4.027100e-2,-2.352853e-2
1775.000,355,rest,-7.880814e-2,-3.601351e-2
1800.000,360,rest,-1.173068e-1,-3.136205e-2
1825.000,365,rest,-1.288555e-1,-1.684069e-2
1850.000,370,rest,-1.577292e-1,-2.515455e-2
1875.000,375,rest,-1.866029e-1,-2.256192e-2
1900.000,380,rest,-1.923767e-1,-1.461018e-2
1925.000,385,rest,-1.827541e-1,-1.336087e-2
1950.000,390,rest,-1.673542e-1,-1.989830e-3
1975.000,395,rest,-1.442557e-1,9.133952e-3
2000.000,400,rest,-8.454438e-2,-2.061983e-3
